
2015-03-10 12:43:33,ITP-6thFloor,7,normalAntenna,72
2015-03-10 12:43:34,ITP-6thFloor,7,normalAntenna,73
2015-03-10 12:43:35,ITP-6thFloor,7,normalAntenna,72
2015-03-10 12:43:37,ITP-6thFloor,8,normalAntenna,71
2015-03-10 12:43:38,ITP-6thFloor,8,normalAntenna,72
2015-03-10 12:43:39,ITP-6thFloor,8,normalAntenna,75
2015-03-10 12:43:40,ITP-6thFloor,8,normalAntenna,73
2015-03-10 12:43:41,ITP-6thFloor,8,normalAntenna,74
2015-03-10 12:46:38,ITP-8thFloor,0,896-980MHz,82
2015-03-10 12:46:39,ITP-8thFloor,0,896-980MHz,83
2015-03-10 12:46:40,ITP-8thFloor,0,896-980MHz,81
2015-03-10 12:46:41,ITP-8thFloor,0,896-980MHz,82
2015-03-10 12:46:42,ITP-8thFloor,0,896-980MHz,83
2015-03-10 12:46:45,ITP-8thFloor,1,896-980MHz,82
2015-03-10 12:46:46,ITP-8thFloor,1,896-980MHz,80
2015-03-10 12:46:47,ITP-8thFloor,1,896-980MHz,83
2015-03-10 12:46:48,ITP-8thFloor,1,896-980MHz,81
2015-03-10 12:46:49,ITP-8thFloor,1,896-980MHz,81
2015-03-10 12:46:51,ITP-8thFloor,2,896-980MHz,82
2015-03-10 12:46:52,ITP-8thFloor,2,896-980MHz,82
2015-03-10 12:46:53,ITP-8thFloor,2,896-980MHz,83
2015-03-10 12:46:55,ITP-8thFloor,2,896-980MHz,82
2015-03-10 12:46:56,ITP-8thFloor,2,896-980MHz,82
2015-03-10 12:46:58,ITP-8thFloor,3,896-980MHz,81
2015-03-10 12:46:59,ITP-8thFloor,3,896-980MHz,80
2015-03-10 12:47:00,ITP-8thFloor,3,896-980MHz,77
2015-03-10 12:47:01,ITP-8thFloor,3,896-980MHz,76
2015-03-10 12:47:02,ITP-8thFloor,3,896-980MHz,79
2015-03-10 12:47:04,ITP-8thFloor,4,896-980MHz,79
2015-03-10 12:47:06,ITP-8thFloor,4,896-980MHz,79
2015-03-10 12:47:07,ITP-8thFloor,4,896-980MHz,80
2015-03-10 12:47:08,ITP-8thFloor,4,896-980MHz,79
2015-03-10 12:47:09,ITP-8thFloor,4,896-980MHz,79
2015-03-10 12:47:11,ITP-8thFloor,5,896-980MHz,79
2015-03-10 12:47:12,ITP-8thFloor,5,896-980MHz,79
2015-03-10 12:47:13,ITP-8thFloor,5,896-980MHz,79
2015-03-10 12:47:14,ITP-8thFloor,5,896-980MHz,78
2015-03-10 12:47:15,ITP-8thFloor,5,896-980MHz,78
2015-03-10 12:47:18,ITP-8thFloor,6,896-980MHz,78
2015-03-10 12:47:19,ITP-8thFloor,6,896-980MHz,78
2015-03-10 12:47:20,ITP-8thFloor,6,896-980MHz,78
2015-03-10 12:47:21,ITP-8thFloor,6,896-980MHz,79
2015-03-10 12:47:22,ITP-8thFloor,6,896-980MHz,79
2015-03-10 12:47:24,ITP-8thFloor,7,896-980MHz,76
2015-03-10 12:47:25,ITP-8thFloor,7,896-980MHz,77
2015-03-10 12:47:26,ITP-8thFloor,7,896-980MHz,77
2015-03-10 12:47:27,ITP-8thFloor,7,896-980MHz,77
2015-03-10 12:47:28,ITP-8thFloor,7,896-980MHz,80
2015-03-10 12:47:31,ITP-8thFloor,8,896-980MHz,78
2015-03-10 12:47:32,ITP-8thFloor,8,896-980MHz,79
2015-03-10 12:47:33,ITP-8thFloor,8,896-980MHz,79
2015-03-10 12:47:34,ITP-8thFloor,8,896-980MHz,80
2015-03-10 12:47:35,ITP-8thFloor,8,896-980MHz,82
2015-03-10 12:47:44,ITP-8thFloor,0,normalAntenna,91
2015-03-10 12:47:46,ITP-8thFloor,0,normalAntenna,70
2015-03-10 12:47:47,ITP-8thFloor,0,normalAntenna,70
2015-03-10 12:47:48,ITP-8thFloor,0,normalAntenna,70
2015-03-10 12:47:49,ITP-8thFloor,0,normalAntenna,70
2015-03-10 12:47:51,ITP-8thFloor,1,normalAntenna,70
2015-03-10 12:47:53,ITP-8thFloor,1,normalAntenna,70
